INSTNM,CITY,STABBR,INSTURL,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10,CURROPER
Alabama A & M University,Normal,AL,www.aamu.edu/,0,1,1,3,4,1,34.7834,-86.5685,0.8989,0.389999986,0,4051,4380,13415,NULL,12807,NULL,14393,NULL,16411,NULL,7182,12774,NULL,0.308718313,NULL,0.44471387,0.448163265,0.446488294,PrivacySuppressed,19500,18198,22662.5,25557,373.1565536,50114,37900,9500,4750,0.622062683,214,1532,35300,31400,6700,16800,47000,70000,33400,35300,41400,1
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,0,1,1,3,4,1,33.5022,-86.8092,0.8673,0.379999995,0,11200,10331,14805,NULL,12846,NULL,15038,NULL,17190,NULL,7206,16398,NULL,0.508549808,NULL,0.756266667,0.724256293,0.770134228,0.818059299,16250,16500,16500,15000,256.6460899,40000,27650,8000,4325,0.749342382,365,2661,46300,40300,10900,24900,57900,84000,45900,44400,49700,1
Amridge University,Montgomery,AL,www.amridgeuniversity.edu,0,1,1,3,4,2,32.3626,-86.174,NULL,0.50999999,0,322,98,NULL,7455,NULL,7455,NULL,9974,NULL,NULL,6870,6870,NULL,0.285738095,NULL,0.647249191,0.597701149,PrivacySuppressed,PrivacySuppressed,10500,9500,PrivacySuppressed,PrivacySuppressed,299.6998398,40000,24107,4935,3166,0.717647076,46,170,42100,38100,6800,20800,56100,79500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,0,1,1,3,4,1,34.7228,-86.6384,0.8062,0.340000004,0,5525,5220,17520,NULL,15239,NULL,17621,NULL,20283,NULL,9192,21506,NULL,0.478211346,NULL,0.781997919,0.721404304,0.824742268,PrivacySuppressed,16500,17083.5,17587,15000,274.6425129,40750,28500,7500,3927,0.7938326,178,1135,52700,46600,12900,29400,71300,93300,47800,53900,57700,1
Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,0,1,1,3,4,1,32.3643,-86.2957,0.5125,0.449999988,0,5354,4348,11936,NULL,12074,NULL,10986,NULL,10594,NULL,8720,15656,NULL,0.257481955,NULL,0.331198862,0.310875332,0.376106195,0.333333333,15854.5,15000,17125,14375,371.3857766,45846,32000,9394.5,4750,0.557421446,309,1846,30700,27800,7100,15700,42200,55400,28900,31900,36600,1
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,0,1,1,3,4,1,33.2144,-87.5458,0.5655,0.300000012,0,28692,15318,20916,NULL,18113,NULL,20725,NULL,23479,NULL,9450,23950,NULL,0.666009354,NULL,0.8139413,0.740354536,0.815261044,0.890335503,17750,18750,18250,17000,266.4492,34750,27000,8250,5500,0.787617981,397,3602,49100,42400,13100,27900,60700,85000,46800,49800,50000,1
Central Alabama Community College,Alexander City,AL,www.cacc.edu,0,1,1,2,2,1,32.9244,-85.9465,NULL,0.639999986,0,1779,1577,6407,NULL,6312,NULL,6676,NULL,10512,NULL,4200,7500,NULL,NULL,0.1187,0.438401776,0.353796446,0.577889447,PrivacySuppressed,7554,8000,5816,5500,PrivacySuppressed,25388,14433.5,4000,2367,0.551575959,152,698,31400,27100,7000,15700,41300,58800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Athens State University,Athens,AL,www.athens.edu,0,1,1,3,3,1,34.8056,-86.9651,NULL,0.529999971,0,2999,2662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.767649075,0.710144928,0.79787234,PrivacySuppressed,14000,13250,15391.5,13986,209.0738056,33576,24531,6956,3577,0.755469739,116,777,41500,39700,12600,25300,50400,74000,38600,43300,44600,1
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,0,1,1,3,4,1,32.3699,-86.1774,0.8371,0.419999987,0,4322,4098,11915,NULL,9521,NULL,13052,NULL,15556,NULL,8750,24950,NULL,0.285309228,NULL,0.628856194,0.55311973,0.703459638,0.781690141,10750,10250,11927,10250.5,241.9247716,34491,22312,5500,2750,0.679445326,201,1226,36700,34800,9500,21400,46300,66300,33800,40500,37800,1
Auburn University,Auburn University,AL,www.auburn.edu,0,1,1,3,4,1,32.6002,-85.4924,0.8274,0.239999995,0,19761,18326,17541,NULL,14167,NULL,17463,NULL,19812,NULL,9852,26364,NULL,0.680930242,NULL,0.882455377,0.805755396,0.879596251,PrivacySuppressed,18250,18007.5,18750,18000,247.0206125,35550,27000,8750,5500,0.803368151,445,4216,52100,45400,13800,29900,66200,91400,49900,52900,52600,1
