INSTNM,CITY,STABBR,ZIP,INSTURL,CURROPER,CCBASIC,CCUGPROF,CCSIZSET,YEARS,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_ALL,NPT4_LOW,NPT4_MID,NPT4_HIGH,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p6,mn_earn_wne_p6,md_earn_wne_p6,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,mn_earn_wne_inc1_p6,mn_earn_wne_inc2_p6,mn_earn_wne_inc3_p6,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,1,18,9,14,4,0,1,1,3,4,1,34.7834,-86.5685,0.8989,0.389999986,0,4051,4380,13415,12807,14393,16411,13415,NULL,12807,NULL,14393,NULL,16411,NULL,7182,12774,NULL,0.308718313,NULL,0.44471387,0.448163265,0.446488294,NULL,19500,18198,22662.5,25557,373.1565536,50114,37900,9500,4750,0.462298036,26100,22800,4500,12100,35400,51400,24700,25800,30500,0.622062683,214,1532,35300,31400,6700,16800,47000,70000,33400,35300,41400
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,1,15,8,15,4,0,1,1,3,4,1,33.5022,-86.8092,0.8673,0.379999995,0,11200,10331,14805,12846,15038,17190,14805,NULL,12846,NULL,15038,NULL,17190,NULL,7206,16398,NULL,0.508549808,NULL,0.756266667,0.724256293,0.770134228,0.818059299,16250,16500,16500,15000,256.6460899,40000,27650,8000,4325,0.660484493,37400,33200,9700,20200,47900,66200,37800,37800,36300,0.749342382,365,2661,46300,40300,10900,24900,57900,84000,45900,44400,49700
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,1,21,6,6,4,0,1,1,3,4,2,32.3626,-86.174,NULL,0.50999999,0,322,98,7455,7455,9974,NULL,NULL,7455,NULL,7455,NULL,9974,NULL,NULL,6870,6870,NULL,0.285738095,NULL,0.647249191,0.597701149,NULL,NULL,10500,9500,NULL,NULL,299.6998398,40000,24107,4935,3166,0.646666646,38500,32800,7300,16800,51000,75400,NULL,NULL,NULL,0.717647076,46,170,42100,38100,6800,20800,56100,79500,NULL,NULL,NULL
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,1,15,8,12,4,0,1,1,3,4,1,34.7228,-86.6384,0.8062,0.340000004,0,5525,5220,17520,15239,17621,20283,17520,NULL,15239,NULL,17621,NULL,20283,NULL,9192,21506,NULL,0.478211346,NULL,0.781997919,0.721404304,0.824742268,NULL,16500,17083.5,17587,15000,274.6425129,40750,28500,7500,3927,0.660565734,39300,36700,9100,19300,56100,70300,36100,41800,41100,0.7938326,178,1135,52700,46600,12900,29400,71300,93300,47800,53900,57700
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/email/index.aspx,1,18,9,13,4,0,1,1,3,4,1,32.3643,-86.2957,0.5125,0.449999988,0,5354,4348,11936,12074,10986,10594,11936,NULL,12074,NULL,10986,NULL,10594,NULL,8720,15656,NULL,0.257481955,NULL,0.331198862,0.310875332,0.376106195,0.333333333,15854.5,15000,17125,14375,371.3857766,45846,32000,9394.5,4750,0.342225611,21200,19300,4300,10900,29500,39800,20200,23400,21700,0.557421446,309,1846,30700,27800,7100,15700,42200,55400,28900,31900,36600
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,1,16,10,16,4,0,1,1,3,4,1,33.2144,-87.5458,0.5655,0.300000012,0,28692,15318,20916,18113,20725,23479,20916,NULL,18113,NULL,20725,NULL,23479,NULL,9450,23950,NULL,0.666009354,NULL,0.8139413,0.740354536,0.815261044,0.890335503,17750,18750,18250,17000,266.4492,34750,27000,8250,5500,0.661085427,35700,32900,9800,20000,45300,61600,33900,34600,37600,0.787617981,397,3602,49100,42400,13100,27900,60700,85000,46800,49800,50000
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,1,2,3,2,2,0,1,1,2,2,1,32.9244,-85.9465,NULL,0.639999986,0,1779,1577,6407,6312,6676,10512,6407,NULL,6312,NULL,6676,NULL,10512,NULL,4200,7500,NULL,NULL,0.1187,0.438401776,0.353796446,0.577889447,NULL,7554,8000,5816,5500,NULL,25388,14433.5,4000,2367,0.446135819,25300,22700,4800,12500,35000,47500,22500,29100,34500,0.551575959,152,698,31400,27100,7000,15700,41300,58800,NULL,NULL,NULL
Athens State University,Athens,AL,35611,www.athens.edu,1,22,5,9,4,0,1,1,3,3,1,34.8056,-86.9651,NULL,0.529999971,0,2999,2662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.767649075,0.710144928,0.79787234,NULL,14000,13250,15391.5,13986,209.0738056,33576,24531,6956,3577,0.652219892,34600,33300,9900,19900,43400,61200,30300,36200,43500,0.755469739,116,777,41500,39700,12600,25300,50400,74000,38600,43300,44600
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,1,18,8,12,4,0,1,1,3,4,1,32.3699,-86.1774,0.8371,0.419999987,0,4322,4098,11915,9521,13052,15556,11915,NULL,9521,NULL,13052,NULL,15556,NULL,8750,24950,NULL,0.285309228,NULL,0.628856194,0.55311973,0.703459638,0.781690141,10750,10250,11927,10250.5,241.9247716,34491,22312,5500,2750,0.554537117,30400,27500,8800,16500,40300,55900,28400,32100,33200,0.679445326,201,1226,36700,34800,9500,21400,46300,66300,33800,40500,37800
Auburn University,Auburn University,AL,36849,www.auburn.edu,1,16,13,15,4,0,1,1,3,4,1,32.6002,-85.4924,0.8274,0.239999995,0,19761,18326,17541,14167,17463,19812,17541,NULL,14167,NULL,17463,NULL,19812,NULL,9852,26364,NULL,0.680930242,NULL,0.882455377,0.805755396,0.879596251,NULL,18250,18007.5,18750,18000,247.0206125,35550,27000,8750,5500,0.709142148,39300,35900,11800,22600,50200,67000,40400,39300,38800,0.803368151,445,4216,52100,45400,13800,29900,66200,91400,49900,52900,52600
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,1,21,12,11,4,0,1,1,3,3,2,33.5155,-86.8536,0.6422,0.170000002,0,1181,1395,22994,15954,18902,26114,NULL,22994,NULL,15954,NULL,18902,NULL,26114,30690,30690,NULL,0.633327199,NULL,0.84984985,0.756097561,0.864,0.896825397,21500,NULL,24625,21500,299.75535,36000,27000,7500,5328,0.56930691,30200,26800,6300,15300,39800,58300,NULL,NULL,NULL,0.741312742,22,259,45300,41900,9800,23500,60500,77600,NULL,NULL,NULL
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu,1,2,2,2,2,0,1,1,2,2,1,32.4239,-85.0315,NULL,0.519999981,0,1769,1748,1873,NULL,NULL,6119,1873,NULL,1366,NULL,2554,NULL,6119,NULL,4260,7590,NULL,NULL,0.140052962,0.528708134,0.439849624,NULL,NULL,4569,4500,4750,3834.5,77.71435,12160,7040.5,3022,1850,0.428770959,25100,21600,4900,12700,32800,46400,NULL,NULL,NULL,0.557142854,153,630,31200,27700,5500,15600,40600,58700,NULL,NULL,NULL
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/,1,22,9,8,4,0,1,1,3,3,2,32.4223,-87.0242,NULL,0.519999981,0,523,532,12686,11822,14121,17505,NULL,12686,NULL,11822,NULL,14121,NULL,17505,8090,8090,NULL,0.134843721,NULL,0.254125413,NULL,NULL,NULL,8050,8250,8750,5500,294.204325,23000,14250,4750,2750,0.287206262,19900,18300,2300,9300,27500,36600,NULL,NULL,NULL,0.384792626,122,434,24400,21300,5400,13800,33300,44500,NULL,NULL,NULL
South University-Montgomery,Montgomery,AL,36116,southuniversity.edu,1,23,5,6,4,0,0,16,2,4,3,32.3427,-86.2165,0.4366,0.5,0,599,207,23152,22773,24843,27042,NULL,23152,NULL,22773,NULL,24843,NULL,27042,16360,16360,NULL,0.109872527,NULL,0.349280501,0.297383876,0.433681893,0.608558842,9500,8666.5,10377,12160,301.6093924,33447,19713,4750,2334,0.606406331,38200,31600,7600,17500,53500,74600,26600,40900,60700,0.607204139,266,1166,35500,29800,7100,16600,45900,67200,30200,41900,45300
